record_id,key,entry_type,year,title,author,booktitle,journal,publisher,doi,url,eprint,archiveprefix,note,cited_in_main,citation_count,first_cited_line
INC-021,Wang2018InEdgeAI,article,2019,"In-Edge {AI}: Intelligentizing Mobile Edge Computing, Caching and Communication by Federated Learning",Xiaofei Wang and Yiwen Han and Chenyang Wang and Qiyang Zhao and Xu Chen and Min Chen,,IEEE Network,,10.1109/MNET.2019.1800286,,,,Preprint: arXiv:1809.07857,yes,2,644
INC-022,Lim2019FederatedMobileEdgeSurvey,article,2020,Federated Learning in Mobile Edge Networks: A Comprehensive Survey,Wei Yang Bryan Lim and Nguyen Cong Luong and Dinh Thai Hoang and Yutao Jiao and Ying-Chang Liang and Qiang Yang and Dusit Niyato and Chunyan Miao,,IEEE Commun. Surveys Tuts.,,10.1109/COMST.2020.2986024,,,,Preprint: arXiv:1909.11875,yes,4,212
INC-023,Sadeghi2019DRLCaching,article,2019,Deep Reinforcement Learning for Adaptive Caching in Hierarchical Content Delivery Networks,Alireza Sadeghi and Gang Wang and Georgios B. Giannakis,,IEEE Trans. Cogn. Commun. Netw.,,10.1109/TCCN.2019.2936193,,,,Preprint: arXiv:1902.10301,yes,3,644
INC-024,Alkassab2023DeePref,inproceedings,2024,{DeePref}: Deep Reinforcement Learning for Video Prefetching in Content Delivery Networks,Nawras Alkassab and Chin-Tser Huang and Tania Lorido Botran,Proc. 33rd Int. Conf. Computer Communications and Networks (ICCCN),,IEEE,10.1109/ICCCN61213.2024.10637652,,,,Preprint: arXiv:2310.07881,yes,3,644
INC-025,Malektaji2023DRLContentMigration,article,2021,Deep Reinforcement Learning-Based Content Migration for Edge Content Delivery Networks With Vehicular Nodes,Sepideh Malektaji and Amin Ebrahimzadeh and Halima Elbiaze and Roch H. Glitho and Somayeh Kianpisheh,,IEEE Trans. Netw. Service Manag.,,10.1109/TNSM.2021.3086721,,,,Preprint: arXiv:2307.08905,yes,1,832
INC-026,Zhang2025PrivacyPreservingEdgeCaching,article,2025,"A Survey on Privacy-Preserving Caching at Network Edge: Classification, Solutions, and Challenges",Xianzhi Zhang and Yipeng Zhou and Di Wu and Quan Z. Sheng and Shazia Riaz and Miao Hu and Linchang Xiao,,ACM Computing Surveys,,10.1145/3706630,,,,,yes,4,184
INC-027,Yang2025VidBlock,article,2025,{VidBlock}: A {Web3.0}-Enabled Decentralized Blockchain Architecture for Live Video Streaming,Hyunjoo Yang and Sejin Park,,Applied Sciences,,10.3390/app15031289,,,,,yes,6,172
INC-028,CTA2025CMCD,techreport,2020,{CTA-5004: Common Media Client Data},{Consumer Technology Association},,,,,https://shop.cta.tech/products/cta-5004,,,,yes,9,184
INC-029,CTA2024CMSD,techreport,2022,{Web Application Video Ecosystem -- Common Media Server Data (CTA-5006)},{Consumer Technology Association},,,,,https://shop.cta.tech/products/cta-5006,,,,yes,9,184
INC-030,ISOIEC23009Dash2022,techreport,2022,{ISO/IEC 23009-1:2022: Information technology -- Dynamic adaptive streaming over HTTP (DASH) -- Part 1: Media presentation description and segment formats},{ISO/IEC},,,,,https://www.iso.org/standard/83314.html,,,,yes,5,184
INC-031,Bentaleb2019ABRSurvey,article,2019,{A Survey on Bitrate Adaptation Schemes for Streaming Media Over HTTP},"Bentaleb, Abdelhak and Taani, Bayan and Begen, Ali C. and Timmerer, Christian and Zimmermann, Roger",,IEEE Communications Surveys \& Tutorials,,10.1109/COMST.2018.2862938,,,,,yes,4,184
